0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,year,crawled_at
,,교직복수전공자,13,3,3,3,-,-,2,24,18,21,11,50,76,150,,2025,2025-06-16
,문헌정보학과,단수전공자,13,6,6,3,-,6,2,36,12,27,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,12,27,-,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,12,27,18,57,37,130,,2025,2025-06-16
,,교직단수전공자,13,6,6,3,-,6,2,36,12,27,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,6,6,3,-,6,2,36,12,27,11,50,64,150,,2025,2025-06-16
,심리학과,단수전공자,13,6,6,3,-,6,2,36,9,30,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,9,30,-,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,9,30,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,6,6,3,-,6,2,36,9,30,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,6,6,3,-,6,2,36,9,30,11,50,64,150,,2025,2025-06-16
,언론정보학과,단수전공자,13,6,6,3,-,6,2,36,-,39,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,-,39,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,-,39,15,54,40,130,,2025,2025-06-16
,사회복지학과,단수전공자,13,6,6,3,-,6,2,36,-,39,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,-,39,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,-,39,15,54,40,130,,2025,2025-06-16
,정치외교학과,단수전공자,13,6,6,3,-,6,2,36,12,27,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,12,27,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,12,27,15,54,40,130,,2025,2025-06-16
,행정학부,단수전공자,13,6,6,3,-,6,2,36,-,39,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,-,39,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,-,39,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,-,-,2,24,-,39,45,84,32,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,-,-,2,24,-,39,11,50,76,150,,2025,2025-06-16
대 학 명,학 과 명,구 분,교 양,,,,,,,,전 공,,,,"일반
선택","졸업
학점
(총계)",,2025,2025-06-16
,,,기초,균형,,,,소양,,"교양
소계","전공
기초","전공
핵심","전공
심화","전공
소계",,,,2025,2025-06-16
,,,필수,인문학,"사회
과학","자연
과학",필수,선택,필수,,,,,,,,,2025,2025-06-16
사회과학대학,도시·자치융합학과,단수전공자,13,6,6,3,-,6,2,36,-,39,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,-,39,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,-,39,15,54,40,130,,2025,2025-06-16
자연과학대학,수학과,단수전공자,13,3,3,3,6,6,2,36,18,21,42,81,13,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,6,2,36,18,21,6,45,49,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,6,2,36,18,21,21,60,34,130,,2025,2025-06-16
,정보통계학과,단수전공자,13,6,6,3,-,6,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,18,21,6,45,49,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,18,21,18,57,37,130,,2025,2025-06-16
,물리학과,단수전공자,13,3,3,-,14,3,2,38,18,26,44,88,4,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,14,3,2,38,18,21,15,54,38,130,,2025,2025-06-16
,,부전공자,13,3,3,-,14,3,2,38,18,26,20,64,28,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,-,14,-,2,35,18,21,47,86,19,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,-,14,-,2,35,18,21,11,50,65,150,,2025,2025-06-16
,천문우주과학과,단수전공자,13,3,3,-,9,6,2,36,12,27,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,9,6,2,36,12,27,15,54,40,130,,2025,2025-06-16
,,부전공자,13,3,3,-,9,6,2,36,12,27,15,54,40,130,,2025,2025-06-16
,화학과,단수전공자,13,3,3,-,12,3,2,36,15,30,39,84,10,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,12,3,2,36,15,24,9,48,46,130,,2025,2025-06-16
,,부전공자,13,3,3,-,12,3,2,36,15,24,21,60,34,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,-,12,-,2,33,15,24,45,84,23,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,-,12,-,2,33,15,24,11,50,67,150,,2025,2025-06-16
,생화학과,단수전공자,13,3,3,3,6,6,2,36,16,23,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,6,2,36,16,23,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,6,2,36,16,23,15,54,40,130,,2025,2025-06-16
,지질환경과학과,단수전공자,13,3,3,-,12,3,2,36,15,30,33,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,12,3,2,36,15,24,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,-,12,3,2,36,15,24,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,-,12,-,2,33,15,30,39,84,23,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,-,12,-,2,33,15,24,11,50,67,150,,2025,2025-06-16
,해양환경과학과,단수전공자,13,3,3,-,12,3,2,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,12,3,2,36,18,21,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,-,12,3,2,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,-,12,-,2,33,18,21,45,84,23,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,-,12,-,2,33,18,21,11,50,67,150,,2025,2025-06-16
,스포츠과학과,단수전공자,13,6,6,3,-,6,2,36,-,39,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,6,6,3,-,6,2,36,-,39,,39,55,130,,2025,2025-06-16
,,부전공자,13,6,6,3,-,6,2,36,-,39,15,54,40,130,,2025,2025-06-16
대 학 명,학 과 명,,구 분,교 양,,,,,,,,전 공,,,,"일반
선택","졸업
학점
(총계)",2025,2025-06-16
,,,,기초,균형,,,,소양,,"교양
소계","전공
기초","전공
핵심","전공
심화","전공
소계",,,2025,2025-06-16
,,,,필수,인문학,"사회
과학","자연
과학",필수,선택,필수,,,,,,,,2025,2025-06-16
자연과학대학,무용학과,한국무용,단수전공자,13,6,6,3,-,6,2,36,8,31,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,6,6,3,-,6,2,36,8,31,,39,55,130,2025,2025-06-16
,,,부전공자,13,6,6,3,-,6,2,36,8,31,15,54,40,130,2025,2025-06-16
,,현대무용,단수전공자,13,6,6,3,-,6,2,36,8,31,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,6,6,3,-,6,2,36,8,31,,39,55,130,2025,2025-06-16
,,,부전공자,13,6,6,3,-,6,2,36,8,31,15,54,40,130,2025,2025-06-16
,,발레,단수전공자,13,6,6,3,-,6,2,36,8,31,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,6,6,3,-,6,2,36,8,31,,39,55,130,2025,2025-06-16
,,,부전공자,13,6,6,3,-,6,2,36,8,31,15,54,40,130,2025,2025-06-16
,반도체융합학과,,단수전공자,13,3,3,-,12,3,2,36,18,21,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,3,-,12,3,2,36,18,21,15,54,40,130,2025,2025-06-16
,,,부전공자,13,3,3,-,12,3,2,36,18,21,15,54,40,130,2025,2025-06-16
경상대학,경제학과,,단수전공자,13,3,9,3,-,6,2,36,15,24,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,9,3,-,6,2,36,15,24,,39,55,130,2025,2025-06-16
,,,부전공자,13,3,9,3,-,6,2,36,15,24,15,54,40,130,2025,2025-06-16
,,,교직단수전공자,13,3,3,3,-,-,2,24,15,24,45,84,32,140,2025,2025-06-16
,,,교직복수전공자,13,3,3,3,-,-,2,24,15,24,11,50,76,150,2025,2025-06-16
,경영학부,,단수전공자,13,3,-,3,9,6,2,36,18,21,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,-,3,9,6,2,36,18,21,,39,55,130,2025,2025-06-16
,,,부전공자,13,3,-,3,9,6,2,36,18,21,15,54,40,130,2025,2025-06-16
,,,교직단수전공자,13,3,-,3,9,6,2,36,18,21,45,84,20,140,2025,2025-06-16
,,,교직복수전공자,13,3,-,3,9,6,2,36,18,21,11,50,64,150,2025,2025-06-16
,무역학과,,단수전공자,13,3,9,3,-,6,2,36,12,27,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,9,3,-,6,2,36,12,27,-,39,55,130,2025,2025-06-16
,,,부전공자,13,3,9,3,-,6,2,36,12,27,15,54,40,130,2025,2025-06-16
,,,교직단수전공자,13,3,9,3,-,6,2,36,12,27,45,84,20,140,2025,2025-06-16
,,,교직복수전공자,13,3,9,3,-,6,2,36,12,27,11,50,64,150,2025,2025-06-16
공과대학,건축학과,,단수전공자,13,6,6,3,-,6,2,36,-,117,12,129,1,166,2025,2025-06-16
,"스마트시티건축
공학과",,단수전공자,13,3,3,-,12,3,2,36,18,21,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,3,-,12,3,2,36,18,21,15,54,40,130,2025,2025-06-16
,,,부전공자,13,3,3,-,12,3,2,36,18,21,15,54,40,130,2025,2025-06-16
,토목공학과,,심화단수전공자,13,-,-,-,13,2,8,36,6,87,,93,1,130,2025,2025-06-16
,,,심화복수전공자,13,-,-,-,13,2,8,36,6,87,,93,1,130,2025,2025-06-16
,,,심화부전공자,13,-,-,-,13,2,8,36,6,87,,93,1,130,2025,2025-06-16
,,,단수전공자,13,3,3,-,13,2,2,36,6,87,,93,1,130,2025,2025-06-16
,,,복수전공자,13,3,3,-,13,2,2,36,39,,,39,55,130,2025,2025-06-16
,,,부전공자,13,3,3,-,13,2,2,36,6,48,,54,40,130,2025,2025-06-16
,환경공학과,,단수전공자,13,3,3,3,12,-,2,36,12,27,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,3,3,12,-,2,36,48,,,48,46,130,2025,2025-06-16
,,,부전공자,13,3,3,3,12,-,2,36,60,,,60,34,130,2025,2025-06-16
,기계공학부,,심화단수전공자,13,-,-,-,18,-,8,39,18,21,39,78,13,130,2025,2025-06-16
대 학 명,학 과 명,구 분,교 양,,,,,,,,전 공,,,,"일반
선택","졸업
학점
(총계)",,2025,2025-06-16
,,,기초,균형,,,,소양,,"교양
소계","전공
기초","전공
핵심","전공
심화","전공
소계",,,,2025,2025-06-16
,,,필수,인문학,"사회
과학","자연
과학",필수,선택,필수,,,,,,,,,2025,2025-06-16
공과대학,기계공학부,심화복수전공자,13,-,-,-,18,-,8,39,18,21,21,60,31,130,,2025,2025-06-16
,,심화부전공자,13,-,-,-,18,-,8,39,18,21,15,54,37,130,,2025,2025-06-16
,,단수전공자,13,3,3,-,15,3,2,39,18,21,39,78,13,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,15,3,2,39,18,21,21,60,31,130,,2025,2025-06-16
,,부전공자,13,3,3,-,15,3,2,39,18,21,15,54,37,130,,2025,2025-06-16
,메카트로닉스공학과,단수전공자,13,3,3,-,12,3,2,36,15,24,48,87,7,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,12,3,2,36,15,24,9,48,46,130,,2025,2025-06-16
,,부전공자,13,3,3,-,12,3,2,36,15,24,24,63,31,130,,2025,2025-06-16
,자율운항시스템공학과,단수전공자,13,3,3,3,12,-,2,36,12,27,51,90,4,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,12,-,2,36,12,27,21,60,34,130,,2025,2025-06-16
,,부전공자,13,3,3,3,12,-,2,36,12,27,21,60,34,130,,2025,2025-06-16
,항공우주공학과,단수전공자,13,3,3,3,6,6,2,36,13,26,46,85,9,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,6,2,36,13,26,15,54,40,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,6,2,36,13,26,15,54,40,130,,2025,2025-06-16
,신소재공학과,단수전공자,13,3,3,3,9,3,2,36,18,33,39,90,4,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,9,3,2,36,18,21,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,9,3,2,36,18,21,15,54,40,130,,2025,2025-06-16
,유기재료공학과,단수전공자,13,3,3,6,3,6,2,36,15,24,48,87,7,130,,2025,2025-06-16
,,복수전공자,13,3,3,6,3,6,2,36,15,24,12,51,43,130,,2025,2025-06-16
,,부전공자,13,3,3,6,3,6,2,36,15,24,15,54,40,130,,2025,2025-06-16
,응용화학공학과,심화단수전공자,13,-,-,-,20,-,8,41,9,30,48,87,2,130,,2025,2025-06-16
,,심화복수전공자,13,-,-,-,20,-,8,41,9,30,33,72,17,130,,2025,2025-06-16
,,심화부전공자,13,-,-,-,20,-,8,41,9,30,33,72,17,130,,2025,2025-06-16
,,단수전공자,13,3,3,-,12,3,2,36,9,30,48,87,7,130,,2025,2025-06-16
,,복수전공자,13,3,3,-,12,3,2,36,9,30,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,-,12,3,2,36,9,30,15,54,40,130,,2025,2025-06-16
,전기공학과,단수전공자,13,3,3,3,12,-,2,36,-,39,46,85,9,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,12,-,2,36,-,39,28,67,27,130,,2025,2025-06-16
,,부전공자,13,3,3,3,12,-,2,36,-,39,28,67,27,130,,2025,2025-06-16
,전자공학과,단수전공자,13,3,3,3,12,-,2,36,15,24,51,90,4,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,12,-,2,36,39,,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,12,-,2,36,15,24,15,54,40,130,,2025,2025-06-16
,정보통신융합학부,단수전공자,13,3,3,3,12,-,2,36,12,27,51,90,4,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,12,-,2,36,12,27,15,54,40,130,,2025,2025-06-16
,,부전공자,13,3,3,3,12,-,2,36,12,27,15,54,40,130,,2025,2025-06-16
,컴퓨터융합학부,단수전공자,13,3,3,3,6,6,2,36,18,26,46,90,4,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,6,2,36,18,26,10,54,40,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,6,2,36,18,26,10,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,6,6,2,36,18,26,40,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,6,6,2,36,18,26,16,60,54,150,,2025,2025-06-16
,인공지능학과,단수전공자,13,3,3,3,6,6,2,36,15,24,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,6,2,36,15,24,9,48,46,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,6,2,36,15,24,15,54,40,130,,2025,2025-06-16
대 학 명,학 과 명,구 분,교 양,,,,,,,,전 공,,,,"일반
선택","졸업
학점
(총계)",,2025,2025-06-16
,,,기초,균형,,,,소양,,"교양
소계","전공
기초","전공
핵심","전공
심화","전공
소계",,,,2025,2025-06-16
,,,필수,인문학,"사회
과학","자연
과학",필수,선택,필수,,,,,,,,,2025,2025-06-16
공과대학,에너지공학과,단수전공자,13,3,3,3,11,1,2,36,15,24,42,81,13,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,11,1,2,36,15,24,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,11,1,2,36,15,24,15,54,40,130,,2025,2025-06-16
농업생명과학대학,식물자원학과,단수전공자,13,3,3,3,6,3,5,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,18,21,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,6,3,5,36,18,21,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,6,3,5,36,18,21,11,50,64,150,,2025,2025-06-16
,원예학과,단수전공자,13,3,3,3,6,3,5,36,3,36,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,3,36,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,3,36,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,6,3,5,36,3,36,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,6,3,5,36,3,36,11,50,64,150,,2025,2025-06-16
,산림환경자원학과,단수전공자,13,3,3,3,6,3,5,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,18,21,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,18,21,15,54,40,130,,2025,2025-06-16
,환경소재공학과,단수전공자,13,3,3,3,6,3,5,36,3,36,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,3,36,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,3,36,15,54,40,130,,2025,2025-06-16
,응용생물학과,단수전공자,13,3,3,3,6,3,5,36,13,26,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,13,26,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,13,26,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,6,3,5,36,13,26,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,6,3,5,36,13,26,11,50,64,150,,2025,2025-06-16
,동물자원생명과학과,단수전공자,13,3,3,3,6,3,5,36,18,21,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,18,21,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,18,21,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,6,3,5,36,18,21,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,6,3,5,36,18,21,11,50,64,150,,2025,2025-06-16
,동물바이오시스템과학과,단수전공자,13,3,3,3,6,3,5,36,3,36,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,3,36,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,3,36,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,6,3,5,36,3,36,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,6,3,5,36,3,36,11,50,64,150,,2025,2025-06-16
,지역환경토목학과,단수전공자,13,3,3,3,6,3,5,36,9,30,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,9,30,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,9,30,15,54,40,130,,2025,2025-06-16
,,교직단수전공자,13,3,3,3,6,3,5,36,9,30,45,84,20,140,,2025,2025-06-16
,,교직복수전공자,13,3,3,3,6,3,5,36,9,30,11,50,64,150,,2025,2025-06-16
,스마트농업시스템기계공학과,단수전공자,13,3,3,3,6,3,5,36,12,27,39,78,16,130,,2025,2025-06-16
,,복수전공자,13,3,3,3,6,3,5,36,12,27,,39,55,130,,2025,2025-06-16
,,부전공자,13,3,3,3,6,3,5,36,12,27,15,54,40,130,,2025,2025-06-16
대 학 명,학 과 명,,구 분,교 양,,,,,,,,전 공,,,,"일반
선택","졸업
학점
(총계)",2025,2025-06-16
,,,,기초,균형,,,,소양,,"교양
소계","전공
기초","전공
핵심","전공
심화","전공
소계",,,2025,2025-06-16
,,,,필수,인문학,"사회
과학","자연
과학",필수,선택,필수,,,,,,,,2025,2025-06-16
농업생명과학대학,스마트농업시스템기계공학과,,교직단수전공자,13,3,3,3,6,3,5,36,12,27,45,84,20,140,2025,2025-06-16
,,,교직복수전공자,13,3,3,3,6,3,5,36,12,27,11,50,64,150,2025,2025-06-16
,식품공학과,,단수전공자,13,3,3,3,6,3,5,36,18,21,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,3,3,6,3,5,36,18,21,,39,55,130,2025,2025-06-16
,,,부전공자,13,3,3,3,6,3,5,36,18,21,15,54,40,130,2025,2025-06-16
,생물환경화학과,,단수전공자,13,3,3,3,6,3,5,36,3,36,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,3,3,6,3,5,36,3,36,,39,55,130,2025,2025-06-16
,,,부전공자,13,3,3,3,6,3,5,36,3,36,15,54,40,130,2025,2025-06-16
,농업경제학과,,단수전공자,13,3,3,3,6,3,5,36,18,21,39,78,16,130,2025,2025-06-16
,,,복수전공자,13,3,3,3,6,3,5,36,18,21,,39,55,130,2025,2025-06-16
,,,부전공자,13,3,3,3,6,3,5,36,18,21,15,54,40,130,2025,2025-06-16
,,,교직단수전공자,13,3,3,3,6,3,5,36,18,21,45,84,20,140,2025,2025-06-16
,,,교직복수전공자,13,3,3,3,6,3,5,36,18,21,11,50,64,150,2025,2025-06-16
,농생명융합학부,,단수전공자,13,3,3,3,6,3,5,36,3,*,*,3,16,130,2025,2025-06-16
,,,복수전공자,13,3,3,3,6,3,5,36,3,*,*,3,55,130,2025,2025-06-16
,,,부전공자,13,3,3,3,6,3,5,36,3,*,*,3,40,130,2025,2025-06-16
